id;name;latitude;longitude;address;ward;district;province;primaryType;types;rating;userRatingCount;timezone;openingHours;priceLevel;priceRange
ChIJrzRsNyovdTERPVisRpkNr7I;Siêu Thị Nhất Hương;10,7856595;106,6785219;61-61A Trần Quang Diệu;Phường 12;Quận 3;Hồ Chí Minh;supermarket;['establishment', 'food', 'furniture_store', 'grocery_or_supermarket', 'health', 'home_goods_store', 'point_of_interest', 'store', 'supermarket'];4,1;506;Asia/Ho_Chi_Minh;[{'days': 'Sunday', 'open': '09:00', 'close': '17:00'}, {'days': 'Monday - Saturday', 'open': '08:00', 'close': '20:30'}];1;50k-150k
ChIJbZTOaSAvdTERllA8Lsgrxy8;GUTOT;10,7704497;106,6777039;541/25 Đường Điện Biên Phủ;Phường 3;Quận 3;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];;;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '21:00'}];1;50k-150k
ChIJhTphEtUodTERcxpV8qAlUVU;Golden Gerbera Mart;10,7923401;106,6778548;73 Đường Trần Huy Liệu;Phường 11;phường 11;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];4,1;103;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:00', 'close': '22:00'}];1;50k-150k
ChIJU3mkqsUodTERUwgudqfsh-8;Miền Tuổi Thơ;10,80311;106,691;49G Đường Phan Đăng Lưu;Phường 1;Phú Nhuận;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];3;2;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:30', 'close': '21:30'}];1;50k-150k
ChIJSXFDTd4udTERFSfRUA0IrpM;Siêu thị Con Cưng;10,7710521;106,6727715;310 Đường Lê Hồng Phong;Phường 10;Quận 10;Hồ Chí Minh;supermarket;['clothing_store', 'establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];4,4;173;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '22:00'}];1;50k-150k
ChIJWbIhU94udTERNSaIXz4yNU0;Viet Engineering Co., Ltd (VEE);10,7705653;106,6720988;282 Đường 3 Tháng 2;Phường 12;Quận 10;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'home_goods_store', 'point_of_interest', 'store', 'supermarket'];4;5;Asia/Ho_Chi_Minh;[{'days': 'Monday - Friday', 'open': '08:00', 'close': '17:00'}, {'days': 'Saturday', 'open': '08:00', 'close': '12:00'}];1;50k-150k
ChIJE-pNN9UudTER4h5ftT0pStI;Siêu Thị S-Mart;10,789932;106,674468;522 Đường Lê Văn Sỹ;Phường 14;Quận 3;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];4,1;16;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '22:00'}];1;50k-150k
ChIJVTjtLdwudTER0hqWKMoIB1M;Cửa hàng Thực phẩm Đại Phát (Sư Vạn Hạnh);10,7721315;106,6695617;740/8 Đường Sư Vạn Hạnh;Phường 12;Quận 10;Hồ Chí Minh;supermarket;['bakery', 'establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];4;160;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '21:00'}];1;50k-150k
ChIJiXGK9gYvdTER6ekQHRQGvA0;Satrafoods DẠ NAM;10,749218;106,685351;62 Đường Dạ Nam;Phường Rạch Ông;Quận 8;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];4;182;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '06:00', 'close': '21:00'}];1;50k-150k
ChIJm61BwaYodTERwb61MldiqGo;Ltd Hai Minh Import Export Trading Services;10,8081852;106,7082328;47/24 Hẻm 33 Bùi Đình Túy;Phường 26;Bình Thạnh;Hồ Chí Minh;supermarket;['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket'];3,8;46;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:00', 'close': '18:00'}];1;50k-150k
